Index,BHK,Rent,Size,Floor,Area Type,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
1174,2,54000,800,3 out of 7,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent
1176,1,60000,550,12 out of 20,Carpet Area,Mumbai,Furnished,Bachelors,2,Contact Agent
1177,2,65000,800,10 out of 14,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent
1178,2,35000,615,6 out of 14,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent
1179,2,43000,663,25 out of 43,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1180,1,20000,400,3 out of 4,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
1181,2,57000,625,9 out of 18,Carpet Area,Mumbai,Furnished,Bachelors,2,Contact Agent
1183,1,25000,425,3 out of 5,Carpet Area,Mumbai,Unfurnished,Bachelors,1,Contact Agent
1184,2,56000,649,5 out of 22,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
1185,2,55000,905,10 out of 37,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent
1186,2,18000,882,10 out of 22,Super Area,Mumbai,Unfurnished,Bachelors,2,Contact Owner
1188,2,76000,736,16 out of 36,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent
1190,1,45000,225,3 out of 6,Carpet Area,Mumbai,Unfurnished,Bachelors,1,Contact Owner
1191,2,39000,720,Upper Basement out of 22,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1192,1,12500,555,6 out of 7,Super Area,Mumbai,Unfurnished,Bachelors,1,Contact Owner
1193,1,35000,415,2 out of 7,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1194,2,55000,649,4 out of 22,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
1197,2,25000,1065,15 out of 15,Super Area,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
1200,1,55000,500,8 out of 18,Carpet Area,Mumbai,Unfurnished,Bachelors,1,Contact Agent
1201,3,70000,906,7 out of 10,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
1203,2,25000,500,1 out of 3,Carpet Area,Mumbai,Furnished,Bachelors/Family,1,Contact Owner
1204,1,35000,450,2 out of 7,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1206,1,27000,495,5 out of 7,Super Area,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
1207,1,25000,407,5 out of 23,Super Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
1209,2,32000,610,11 out of 18,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent
1210,1,40000,500,13 out of 14,Super Area,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
1211,2,52000,750,4 out of 20,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1213,2,55000,850,6 out of 10,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
1214,1,30000,350,5 out of 16,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
1215,1,20000,300,2 out of 12,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent
1217,1,40000,415,15 out of 22,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1218,1,21000,450,3 out of 13,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent
1219,3,43000,850,8 out of 14,Carpet Area,Mumbai,Unfurnished,Family,3,Contact Agent
1220,2,58000,805,30 out of 58,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
1223,2,46000,669,15 out of 43,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent
1224,1,6500,325,7 out of 16,Carpet Area,Mumbai,Unfurnished,Family,1,Contact Agent
1225,1,21000,600,5 out of 6,Super Area,Mumbai,Furnished,Bachelors/Family,1,Contact Owner
1226,2,46000,725,Upper Basement out of 16,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1227,2,60000,750,5 out of 9,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1228,3,65000,1050,13 out of 21,Carpet Area,Mumbai,Semi-Furnished,Bachelors,3,Contact Agent
1229,2,15000,600,18 out of 28,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
1232,2,62000,650,11 out of 25,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent
1236,3,55000,999,14 out of 23,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent
1240,2,79500,750,17 out of 20,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent
1243,1,13000,385,6 out of 20,Carpet Area,Mumbai,Unfurnished,Family,1,Contact Agent
1245,1,35000,480,1 out of 7,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent
1246,2,72000,660,12 out of 22,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1248,1,26000,434,5 out of 22,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1249,3,72000,1121,7 out of 14,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
1250,1,8000,620,6 out of 8,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
1252,1,52000,470,6 out of 7,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1253,1,13000,410,2 out of 7,Carpet Area,Mumbai,Unfurnished,Family,1,Contact Agent
1254,3,45000,850,5 out of 7,Carpet Area,Mumbai,Unfurnished,Family,3,Contact Agent
1256,2,63000,888,12 out of 20,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
1257,1,7500,380,3 out of 7,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Owner
1258,1,30000,360,4 out of 20,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
1259,1,28500,565,1 out of 8,Super Area,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
1262,2,38000,661,17 out of 36,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1263,1,26000,450,9 out of 20,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent
1264,3,70000,1300,6 out of 30,Carpet Area,Mumbai,Unfurnished,Bachelors,3,Contact Agent
1265,2,41000,600,4 out of 8,Carpet Area,Mumbai,Furnished,Family,2,Contact Agent
1266,2,27000,900,Ground out of 4,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Owner
1267,1,53000,379,21 out of 23,Carpet Area,Mumbai,Semi-Furnished,Bachelors,1,Contact Agent
1268,2,65000,805,8 out of 58,Carpet Area,Mumbai,Semi-Furnished,Family,3,Contact Agent
1270,1,6000,500,8 out of 10,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
1271,1,43000,480,5 out of 7,Carpet Area,Mumbai,Furnished,Family,2,Contact Agent
1272,2,65000,550,1 out of 7,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
1276,3,65000,1050,3 out of 62,Carpet Area,Mumbai,Unfurnished,Bachelors,3,Contact Agent
1278,1,40000,450,8 out of 13,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent
1279,1,23000,440,Ground out of 4,Carpet Area,Mumbai,Semi-Furnished,Bachelors,1,Contact Agent
1280,3,55000,932,3 out of 8,Super Area,Mumbai,Unfurnished,Bachelors/Family,3,Contact Owner
1281,1,15000,270,15 out of 15,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Owner
1282,1,52000,379,23 out of 23,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
1283,2,13000,582,5 out of 8,Carpet Area,Mumbai,Furnished,Family,2,Contact Owner
1285,1,25000,444,7 out of 17,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1286,1,21000,428,12 out of 21,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
1288,2,60000,888,5 out of 20,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1289,1,19000,490,Ground out of 8,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1291,2,30000,710,12 out of 21,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent
1295,2,65000,950,9 out of 28,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
1296,1,33000,460,10 out of 25,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1297,1,36000,585,10 out of 14,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1298,2,22000,550,2 out of 7,Carpet Area,Mumbai,Furnished,Family,2,Contact Agent
1299,1,17000,375,9 out of 20,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
1300,2,55000,700,10 out of 20,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
1301,2,66000,750,2 out of 8,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent
1304,2,32000,750,3 out of 7,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
1305,2,45000,730,5 out of 17,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent
1306,2,50000,750,10 out of 20,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1307,1,18500,229,5 out of 9,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
1308,2,51000,910,10 out of 19,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent
1311,1,30000,560,2 out of 4,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent
1313,1,15000,450,2 out of 4,Super Area,Mumbai,Unfurnished,Family,1,Contact Owner
1314,2,50000,820,7 out of 28,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1315,2,60000,750,10 out of 20,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1316,1,23000,410,4 out of 7,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
1317,1,14500,490,12 out of 20,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
1318,2,40000,700,11 out of 15,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1321,2,55000,650,8 out of 18,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1322,1,12000,520,2 out of 3,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
1323,2,45000,850,9 out of 12,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1325,2,43000,771,15 out of 37,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1326,1,22000,400,3 out of 7,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
1327,2,20000,600,7 out of 7,Carpet Area,Mumbai,Furnished,Family,2,Contact Agent
1328,1,26000,390,Upper Basement out of 7,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1330,1,34999,450,5 out of 12,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
1331,1,35000,500,7 out of 23,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
1332,1,50000,410,6 out of 12,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent
1333,1,16000,160,2 out of 3,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1334,2,55000,750,10 out of 14,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1335,1,39000,585,3 out of 7,Super Area,Mumbai,Unfurnished,Family,2,Contact Agent
1337,1,25000,350,2 out of 17,Carpet Area,Mumbai,Furnished,Bachelors/Family,1,Contact Owner
1338,1,25000,490,3 out of 7,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
1339,2,49500,650,5 out of 16,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent
1340,1,21000,225,6 out of 24,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1342,1,21000,385,Ground out of 5,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1343,2,46700,800,2 out of 7,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent
1346,1,18000,300,3 out of 10,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1350,2,38000,700,14 out of 23,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1351,1,20000,465,3 out of 4,Super Area,Mumbai,Semi-Furnished,Bachelors,1,Contact Owner
1353,3,78000,1073,8 out of 20,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
1354,1,21000,450,4 out of 7,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1357,2,34000,600,4 out of 7,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent
1358,2,55000,650,5 out of 15,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1359,2,52000,550,3 out of 3,Carpet Area,Mumbai,Furnished,Bachelors,2,Contact Agent
1360,1,74999,840,8 out of 17,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1361,3,75000,1121,30 out of 45,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
1362,2,45000,650,2 out of 12,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1363,1,22000,575,14 out of 14,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1364,1,32000,475,3 out of 4,Super Area,Mumbai,Furnished,Bachelors/Family,1,Contact Owner
1365,2,34000,830,9 out of 21,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1367,1,23000,420,5 out of 7,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1368,1,20000,310,Ground out of 7,Carpet Area,Mumbai,Unfurnished,Bachelors,1,Contact Agent
1371,1,55000,505,4 out of 12,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent
1372,1,15000,275,3 out of 7,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1373,2,22000,640,21 out of 21,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent
1374,3,60000,1500,10 out of 23,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
1375,2,49000,850,10 out of 23,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1376,2,34000,900,12 out of 25,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1377,1,24000,430,6 out of 7,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
1379,3,69000,1100,12 out of 24,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
1381,2,32000,680,5 out of 20,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent
1382,2,24000,600,5 out of 7,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Owner
1385,2,45000,771,20 out of 37,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1387,2,37000,800,5 out of 14,Super Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
1390,1,25000,475,11 out of 15,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent
1394,1,26000,650,1 out of 3,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
1395,2,27000,600,18 out of 20,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent
1396,1,26000,649,3 out of 3,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1397,2,60000,950,2 out of 8,Carpet Area,Mumbai,Furnished,Bachelors,2,Contact Agent
1398,1,12000,225,7 out of 7,Carpet Area,Mumbai,Unfurnished,Family,1,Contact Owner
1400,1,30000,330,13 out of 40,Carpet Area,Mumbai,Furnished,Family,1,Contact Agent
1403,3,70000,920,14 out of 21,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
1404,2,20000,630,4 out of 22,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent
1405,2,22000,670,4 out of 12,Carpet Area,Mumbai,Furnished,Family,2,Contact Agent
1406,1,32000,450,1 out of 5,Super Area,Mumbai,Furnished,Bachelors/Family,1,Contact Owner
1407,1,20000,265,6 out of 7,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1408,2,50000,600,9 out of 11,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1409,2,29000,670,7 out of 7,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Owner
1410,2,45000,650,10 out of 18,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1411,1,6500,422,9 out of 15,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent
1412,2,55000,955,8 out of 22,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1413,3,69999,1100,6 out of 13,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Agent
1414,1,18500,300,3 out of 4,Carpet Area,Mumbai,Unfurnished,Bachelors,1,Contact Owner
1415,2,50000,900,5 out of 17,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
1416,2,45000,785,2 out of 7,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent
1419,1,25000,400,18 out of 23,Carpet Area,Mumbai,Unfurnished,Bachelors,1,Contact Agent
1420,2,75000,800,19 out of 20,Carpet Area,Mumbai,Semi-Furnished,Bachelors,3,Contact Agent
1422,1,20000,625,10 out of 12,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
1423,2,30000,720,5 out of 14,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1424,2,75000,750,4 out of 13,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
1426,2,70000,660,Ground out of 6,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1427,2,32000,700,Ground out of 7,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
1428,1,22000,377,3 out of 23,Super Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
1429,2,35000,650,5 out of 6,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent
1430,2,47000,650,5 out of 7,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1432,2,31000,700,2 out of 8,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
1433,1,60000,430,1 out of 7,Carpet Area,Mumbai,Furnished,Bachelors/Family,1,Contact Agent
1434,2,58000,650,15 out of 24,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent
1436,2,45000,965,19 out of 27,Super Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1437,1,7500,630,3 out of 12,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1441,3,75000,1380,9 out of 22,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
1442,3,66000,1100,17 out of 22,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
1443,1,45000,450,5 out of 7,Carpet Area,Mumbai,Semi-Furnished,Bachelors,1,Contact Agent
1444,1,22000,500,3 out of 4,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1445,3,65000,1100,9 out of 20,Carpet Area,Mumbai,Semi-Furnished,Bachelors,3,Contact Agent
1446,3,55000,868,9 out of 21,Carpet Area,Mumbai,Unfurnished,Family,3,Contact Agent
1447,2,55000,750,6 out of 15,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1448,1,36000,540,2 out of 3,Super Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
1450,1,22000,450,4 out of 7,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent
1452,1,34000,560,3 out of 7,Super Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Owner
1453,1,45000,500,2 out of 3,Carpet Area,Mumbai,Unfurnished,Bachelors,1,Contact Agent
1454,1,14000,305,2 out of 24,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
1455,3,75000,970,1 out of 3,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
1456,1,7000,480,4 out of 4,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1457,2,55000,720,1 out of 6,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1458,2,55000,950,7 out of 10,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent
1461,2,42000,774,10 out of 20,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent
1462,1,27000,450,2 out of 3,Super Area,Mumbai,Unfurnished,Family,1,Contact Agent
1463,3,60000,1000,1 out of 10,Carpet Area,Mumbai,Semi-Furnished,Bachelors,3,Contact Agent
1464,1,17000,340,1 out of 8,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
1465,1,30000,430,14 out of 23,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1466,2,45000,722,4 out of 7,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1468,1,25000,641,3 out of 8,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1469,2,70000,810,4 out of 11,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
1472,2,20000,700,8 out of 22,Super Area,Mumbai,Unfurnished,Family,2,Contact Owner
1473,1,35000,420,Ground out of 3,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
1475,2,54500,758,12 out of 24,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1477,1,45000,480,7 out of 7,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
1478,1,38000,550,6 out of 10,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent
1480,1,22000,400,8 out of 22,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1481,2,70000,760,9 out of 22,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1483,1,50000,400,10 out of 22,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent
1486,2,40000,800,1 out of 3,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
1487,2,32000,590,7 out of 12,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent
1488,2,78000,600,14 out of 22,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1490,2,45000,670,17 out of 22,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1491,2,65000,960,16 out of 38,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1492,2,65000,1500,4 out of 4,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Owner
1493,1,35000,500,1 out of 5,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
1496,3,70000,3354,Ground out of 16,Carpet Area,Bangalore,Furnished,Bachelors/Family,3,Contact Agent
1497,2,10500,800,3 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
1498,2,13000,1000,Ground out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
1499,2,17000,1040,4 out of 4,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
1500,3,21000,1403,1 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
1501,2,10000,600,3 out of 4,Super Area,Bangalore,Furnished,Bachelors/Family,1,Contact Owner
1502,4,61500,2608,1 out of 4,Carpet Area,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent
1503,2,13000,850,1 out of 3,Carpet Area,Bangalore,Semi-Furnished,Family,2,Contact Agent
1504,1,7500,400,1 out of 2,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
1505,2,17000,1000,3 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
1506,3,25000,1350,5 out of 14,Carpet Area,Bangalore,Semi-Furnished,Bachelors,3,Contact Owner
1507,2,10500,800,1 out of 2,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
1508,1,8000,350,3 out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
1509,1,9500,900,Ground out of 2,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
1510,3,50000,2000,1 out of 2,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
1511,2,13000,700,1 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
1512,1,13500,600,1 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
1513,2,13000,700,Ground out of 1,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
1514,1,15000,600,2 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent
1515,2,15000,1400,Ground out of 1,Super Area,Bangalore,Furnished,Bachelors/Family,3,Contact Owner
1516,1,7000,600,Ground out of 3,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
1517,2,25000,770,8 out of 32,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
1518,2,17000,900,1 out of 2,Carpet Area,Bangalore,Semi-Furnished,Family,2,Contact Owner
1519,1,7500,500,Ground out of 3,Super Area,Bangalore,Furnished,Bachelors/Family,1,Contact Owner
1520,2,15000,1100,1 out of 2,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
1521,1,7500,500,1 out of 2,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
1522,3,25000,1260,Ground out of 2,Super Area,Bangalore,Furnished,Bachelors/Family,3,Contact Owner
1523,3,54000,1750,2 out of 4,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
1524,1,14500,600,1 out of 3,Carpet Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent
1525,1,4500,450,Ground out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
1526,2,10500,800,3 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
1527,1,5500,400,Ground out of 2,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
1528,2,16000,600,1 out of 2,Carpet Area,Bangalore,Unfurnished,Bachelors,2,Contact Owner
1529,1,7000,400,Ground out of 2,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
1530,2,12500,900,Ground out of 3,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
1531,2,10000,1200,Ground out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
1532,2,18000,1045,1 out of 2,Carpet Area,Bangalore,Semi-Furnished,Bachelors,2,Contact Owner
1533,3,28000,1021,10 out of 10,Carpet Area,Bangalore,Furnished,Bachelors,3,Contact Owner
1534,3,12000,1200,Ground out of 4,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
1535,2,13000,1000,1 out of 3,Carpet Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
